id,league,x_label,x_unit,x_step,x_min,x_max,y_label,y_unit,y_step,y_min,y_max,target_player,target_x,target_y,ref1_name,ref1_x,ref1_y,ref2_name,ref2_x,ref2_y,ref3_name,ref3_x,ref3_y,ref4_name,ref4_x,ref4_y,ref5_name,ref5_x,ref5_y,fact,source
nba-height-3p-nowitzki,NBA,Height,in,1,60,92,Career 3-point percentage,3P%,,0,48,Dirk Nowitzki,84,38,Muggsy Bogues,63,27.8,Reggie Miller,79,39.5,Shaquille O'Neal,85,4.5,,,,,,,"Dirk Nowitzki stood 7'0"" (84 inches) - nearly as tall as Shaquille O'Neal (7'1"", 85 inches) - but shot 38.0% from three for his career, worlds ahead of Shaq's 4.5% (Shaq made exactly one three-pointer in 22 career attempts). Dirk even out-shot Muggsy Bogues, the shortest player in NBA history at 5'3"", who hit 27.8% from deep. Reggie Miller (6'7"", 39.5%) is the archetype pure sharpshooter - and Dirk, nearly half a foot taller, wasn't far behind him at all.",StatMuse / Basketball-Reference height and career 3-point percentage.
nba-mpg-ppg-williams,NBA,Career minutes per game,MPG,,16,40,Career points per game,PPG,,8,28,Lou Williams,24.1,13.9,Manu Ginobili,25.4,13.3,DeMar DeRozan,34.5,21.1,Kobe Bryant,36.1,25,,,,,,,"Lou Williams built a three-time Sixth Man of the Year career on 24.1 minutes a game — barely two-thirds of Kobe Bryant's 36.1-minute workload — while still averaging 13.9 points, close to a full starter's production squeezed into a bench role. Manu Ginobili (25.4 MPG, 13.3 PPG) landed in almost the exact same zone despite a Hall-of-Fame resume, deployed off the bench by design for most of his prime. DeMar DeRozan (34.5 MPG, 21.1 PPG) shows the traditional high-usage starter workload both bench legends were compared against, not with.",StatMuse career per-game averages (regular season).
nba-ppg-stuff-green,NBA,Career points per game,PPG,,4,28,Career rebounds + assists per game,REB+AST,,4,20,Draymond Green,8.7,12.4,Klay Thompson,18.6,5.6,Russell Westbrook,20.9,14.9,Nikola Jokic,22.2,18.6,,,,,,,"Draymond Green scores less than half of what Klay Thompson does (8.7 PPG to 18.6) but combines for more rebounds and assists (12.4 to Klay's 5.6) — real proof a player can be a genuine star without scoring like one. Russell Westbrook (20.9 PPG, 14.9 combined) shows what happens when high scoring and stat-stuffing coexist, and Nikola Jokic (22.2 PPG, 18.6 combined) is the current extreme: elite at both at once, a center who also leads the league in rebounds and assists.",StatMuse career per-game averages (regular season).
nfl-ypg-tds-taylor,NFL,Rushing yards per game (season),YPG,,80,140,Rushing touchdowns (season),TDs,1,8,24,"Jonathan Taylor, 2021",106.5,18,"Christian McCaffrey, 2023",91.2,14,"Derrick Henry, 2020",126.7,17,"Adrian Peterson, 2012",131.1,12,,,,,,,"Jonathan Taylor's 2021 season is the counterintuitive one here: his 106.5 rushing yards per game is actually the lowest of these four seasons, yet his 18 rushing touchdowns is the highest — the 17-game season gave him an extra game, and a huge share of his team's goal-line work. Adrian Peterson's 2012 MVP season (131.1 YPG) is the opposite profile: gaining more yards per game than anyone here, but with the fewest touchdowns.",Pro Football Reference / StatMuse season totals. Yards-per-game computed from confirmed season yardage ÷ games played.
nba-stl-blk-pippen,NBA,Career steals per game,SPG,,0,2.8,Career blocks per game,BPG,,0,3.6,Scottie Pippen,2,0.8,Dikembe Mutombo,0.4,2.8,John Stockton,2.2,0.2,Hakeem Olajuwon,1.7,3.1,,,,,,,"Scottie Pippen's 2.0 steals and 0.8 blocks a game is a genuinely rare wing profile — enough blocks to suggest a rim-protecting big, delivered by a 6'8"" forward who also picked pockets like a guard. Dikembe Mutombo (0.4 / 2.8) and John Stockton (2.2 / 0.2) are the two specialist extremes this pairing usually produces: a pure rim-protector and a pure ball-hawk. Hakeem Olajuwon (1.7 / 3.1) is the rare exception who tops both — a center with a guard's hands and a shot-blocker's timing.",StatMuse career per-game averages (regular season).
nba-fga-ts-jordan,NBA,Career field goal attempts per game,FGA,,4,28,Career true shooting percentage,TS%,,48,68,Michael Jordan,22.9,56.9,Allen Iverson,21.8,51.8,Stephen Curry,17.9,62.6,DeAndre Jordan,5.1,64.4,,,,,,,"Michael Jordan took more shots per game (22.9) than anyone else here — even more than Allen Iverson (21.8), the standard reference for a pure volume scorer. But his efficiency (56.9 TS%) sits well below the elite tier: Stephen Curry (62.6) gets nearly as many shots up at a far higher efficiency, and DeAndre Jordan (64.4) shows the opposite extreme — a role player who barely shoots (5.1 attempts a game) but converts at an absurd rate, mostly dunks and putbacks. Jordan's greatness came from volume and shot difficulty, not from posting efficiency numbers like the specialists at either end of this chart.",StatMuse career true shooting percentage and field goal attempts per game (regular season).
nfl-int-td-winston,NFL,Career interception percentage,INT%,,1,4.2,Career touchdown percentage,TD%,,3,7,Jameis Winston,3.5,4.8,Alex Smith,2.1,3.8,Brett Favre,3.3,5,Aaron Rodgers,1.4,6,,,,,,,"Jameis Winston throws touchdowns at almost the same rate as Brett Favre (4.8% vs. 5.0%) — but his interception rate (3.5%) is even higher than Favre's, the quarterback whose whole reputation is built on high-risk gunslinging. Alex Smith (2.1% / 3.8%) is the pure game-manager opposite: low risk, low reward. Aaron Rodgers (1.4% / 6.0%) shows the tradeoff isn't actually mandatory — the best touchdown rate in this set paired with the best career interception percentage in NFL history.",StatMuse career passing touchdown percentage and interception percentage.
nba-as-ppg-randolph,NBA,Career All-Star selections,AS,1,0,16,Career points per game,PPG,,12,28,Zach Randolph,2,16.6,Joe Johnson,7,16,Vince Carter,8,16.7,Karl Malone,14,25,,,,,,,"Zach Randolph made just 2 All-Star teams in his career — yet his 16.6 career points per game is basically identical to Joe Johnson's 16.0 (7 All-Star nods) and Vince Carter's 16.7 (8 nods). All-Star selections reward more than raw scoring average — team success, era, and position all factor in — and Randolph's Memphis grit-and-grind identity earned him far less recognition than his actual production. Karl Malone (14 AS, 25.0 PPG) anchors the other extreme: a player whose selections actually matched his all-time-great scoring.",StatMuse career per-game averages and career All-Star selection counts.
nfl-pb-recyds-boldin,NFL,Career Pro Bowl selections,PB,1,0,16,Career receiving yards,yards,1,10000,26000,Anquan Boldin,3,13779,Randy Moss,6,15292,Larry Fitzgerald,11,17492,Jerry Rice,13,22895,,,,,,,"Anquan Boldin made only 3 Pro Bowls in his career, but his 13,779 receiving yards is within shouting distance of Randy Moss's 15,292 — a player who made twice as many Pro Bowls. Boldin's game was built on contested catches and physicality rather than the highlight-reel speed that tends to win Pro Bowl votes, and it cost him recognition his production arguably earned. Jerry Rice (13 PB, 22,895 yards) remains the standard nobody else in NFL history has matched.",StatMuse / Pro Football Reference career Pro Bowl selections and receiving yards.
mlb-as-hr-abreu,MLB,Career All-Star selections,AS,1,0,16,Career home runs,HR,1,200,800,Bobby Abreu,2,288,Adam Dunn,2,462,Ken Griffey Jr.,13,630,Alex Rodriguez,14,696,,,,,,,"Bobby Abreu and Adam Dunn each made exactly 2 All-Star teams — but Dunn hit 174 more career home runs (462 to Abreu's 288). Abreu's value came from on-base percentage, doubles, and stolen bases rather than pure power, a game sabermetricians rate highly but All-Star voters historically haven't rewarded the same way as a big home run total. Griffey (13 AS, 630 HR) and Rodriguez (14 AS, 696 HR) show what it looks like when a player's power and his recognition actually line up.",StatMuse career All-Star selections and home run totals.
