League,Player,Position,Tier,Status,Note
NBA,Michael Jordan,SG,Stud,Retired,Peak scoring/efficiency combo
NBA,Kareem Abdul-Jabbar,C,Stud,Retired,All-time scoring leader for decades
NBA,Magic Johnson,PG,Stud,Retired,Elite big-guard playmaking
NBA,Larry Bird,SF,Stud,Retired,Scoring/rebounding/passing all-around
NBA,Wilt Chamberlain,C,Stud,Retired,Historic outlier stat lines
NBA,Bill Russell,C,Stud,Retired,Defense/rebounding over scoring
NBA,Kobe Bryant,SG,Stud,Retired,Volume scorer archetype
NBA,Tim Duncan,PF,Stud,Retired,Efficient two-way big
NBA,Shaquille O'Neal,C,Stud,Retired,Dominant interior scoring
NBA,Hakeem Olajuwon,C,Stud,Retired,Rare steals+blocks big man
NBA,Karl Malone,PF,Stud,Retired,Longevity scoring/rebounding
NBA,John Stockton,PG,Stud,Retired,All-time assists/steals leader
NBA,Charles Barkley,PF,Stud,Retired,Undersized elite rebounder
NBA,Julius Erving,SF,Stud,Retired,Scoring/athleticism archetype
NBA,Oscar Robertson,PG,Stud,Retired,Triple-double season precedent
NBA,Jerry West,SG,Stud,Retired,Efficient high-volume scorer
NBA,David Robinson,C,Stud,Retired,Two-way stat-stuffing center
NBA,Patrick Ewing,C,Stud,Retired,Scoring/shot-blocking big
NBA,Moses Malone,C,Stud,Retired,Elite offensive rebounder
NBA,Isiah Thomas,PG,Stud,Retired,Undersized scorer/playmaker
NBA,Scottie Pippen,SF,Stud,Retired,Do-everything wing
NBA,Dennis Rodman,PF,Stud,Retired,Elite rebounding specialist
NBA,Allen Iverson,PG,Stud,Retired,High-volume undersized scorer
NBA,Kevin Garnett,PF,Stud,Retired,Stat-stuffing two-way big
NBA,Ray Allen,SG,Stud,Retired,Elite career 3P shooter
NBA,Reggie Miller,SG,Sneaky Stud,Retired,Volume 3P specialist
NBA,Gary Payton,PG,Stud,Retired,Defense/playmaking guard
NBA,Clyde Drexler,SG,Stud,Retired,All-around wing scorer
NBA,George Gervin,SG,Stud,Retired,Scoring title specialist
NBA,Bob Cousy,PG,Sneaky Stud,Retired,Early-era assist leader
NBA,Walt Frazier,PG,Sneaky Stud,Retired,Two-way guard
NBA,Pete Maravich,PG,Stud,Retired,Historic scoring volume
NBA,Dominique Wilkins,SF,Stud,Retired,Elite scoring wing
